chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance	Fold Change	gene expression p-value
"chr11"	57832851	57832850	0	"*"	14.3649779411022	47.683615819209	uc.6687	Hand1	(-705),	-1,21	0,0359
"chr11"	57832852	57832851	0	"*"	8.58755246176675	-32.4659421399051	uc.6688	Hand1	(-706),	-1,21	0,0359
"chr11"	57832901	57832900	0	"*"	3.26678266598504	-31.3330279431974	uc.6689	Hand1	(-755),	-1,21	0,0359
"chr14"	57999558	57999557	0	"*"	6.20767805305733	-42.5824175824176	uc.6698	Micu2	(-297)	1,28	0,0420
"chrX"	60894081	60894080	0	"*"	5.03457973408122	-25.6022408963585	uc.6897	Sox3	(-652)	-1,32	0,0104
"chrX"	60894103	60894102	0	"*"	11.3096904430355	-40.0968523002421	uc.6898	Sox3	(-674),	-1,32	0,0104
"chrX"	60894114	60894113	0	"*"	14.9628601161863	-37.1428571428571	uc.6899	Sox3	(-685),	-1,32	0,0104
"chrX"	60894180	60894179	0	"*"	14.50278463627	-57.9815876324475	uc.6900	Sox3	(-751),	-1,32	0,0104
"chrX"	60894197	60894196	0	"*"	12.5329128701426	-55.0112906027445	uc.6901	Sox3	(-768),	-1,32	0,0104
"chrX"	60894208	60894207	0	"*"	12.5329128701426	-55.0112906027445	uc.6902	Sox3	(-779),	-1,32	0,0104
"chr9"	65345539	65345538	0	"*"	8.62519190714359	-44.0825578620854	uc.7079	Pdcd7	(-565)	1,26	0,0207
"chr10"	75774163	75774162	0	"*"	6.79403741467009	-54.2741935483871	uc.7911	Ddt	(-750)	-1,22	0,0785
"chr11"	77514427	77514426	0	"*"	4.80876795204071	-37.2881355932203	uc.8077	Abhd15	(-694)	-1,23	0,0212
"chr15"	78409801	78409800	0	"*"	7.8877223581683	-45.0858912982259	uc.8137	Tst	(-3943)	-1,26	0,0157
"chr15"	78530077	78530076	0	"*"	10.0791122429272	42.6666666666667	uc.8165	C1qtnf6	(-453)	-1,25	0,0378
"chr15"	79028184	79028183	0	"*"	9.84037729151757	26.6666666666667	uc.8202	H1f0	(-28)	1,25	0,0160
"chr1"	88510182	88510181	0	"*"	4.52422925887006	-32.0879120879121	uc.8901	Glrp1	(-117)	1,21	0,0444
"chr3"	95144331	95144330	0	"*"	8.70618024129009	-45.1752548526742	uc.9385	Tnfaip8l2	(-1972)	-1,36	0,0076
"chr3"	95144351	95144350	0	"*"	5.59668133977669	34.5135566188198	uc.9386	Tnfaip8l2	(-1992),	-1,36	0,0076
"chr3"	95144355	95144354	0	"*"	6.27005855531874	-36.9024592428848	uc.9387	Tnfaip8l2	(-1996),	-1,36	0,0076
"chr13"	95478769	95478768	0	"*"	4.84770336793281	30.5555555555556	uc.9410	S100z	(-49)	-1,24	0,0231
"chr13"	95478795	95478794	0	"*"	4.84770336793281	30.5555555555556	uc.9411	S100z	(-75),	-1,24	0,0231
"chr11"	99994054	99994053	0	"*"	9.24704384814117	-35.1648351648352	uc.9737	Krtap17-1	(-61)	1,27	0,0036
